0,20,0,1000,0,5
1065,1085,0,1000,0,5
100,212,745,744,0,5
139,215,721,779,0,5
749,897,701,743,0,5
447,599,489,530,0,5
450,480,373,403,1,5
480,510,373,403,1,5
510,540,376,406,1,5
549,579,372,402,1,5
579,609,363,393,1,5
544,574,355,385,1,5
514,544,357,387,1,5
477,507,352,382,1,5
451,481,375,405,1,5
441,471,362,392,1,5
460,490,349,379,1,5
500,530,344,374,1,5
569,599,346,376,1,5
579,609,397,427,1,5
68,98,41,71,1,5
91,121,64,94,1,5
111,141,85,115,1,5
142,172,76,106,1,5
163,193,62,92,1,5
182,212,46,76,1,5
119,149,103,133,1,5
117,147,140,170,1,5
111,141,178,208,1,5
263,293,59,89,1,5
239,269,78,108,1,5
225,255,110,140,1,5
221,251,145,175,1,5
223,253,179,209,1,5
247,277,199,229,1,5
279,309,200,230,1,5
321,351,193,223,1,5
332,362,123,153,1,5
333,363,100,130,1,5
310,340,79,109,1,5
331,361,160,190,1,5
389,419,69,99,1,5
389,419,103,133,1,5
389,419,129,159,1,5
391,421,164,194,1,5
415,445,183,213,1,5
457,487,196,226,1,5
472,502,186,216,1,5
479,509,153,183,1,5
487,517,99,129,1,5
489,519,77,107,1,5
560,590,69,99,1,5
572,602,90,120,1,5
587,617,118,148,1,5
602,632,149,179,1,5
615,645,173,203,1,5
641,671,165,195,1,5
651,681,146,176,1,5
667,697,159,189,1,5
683,713,181,211,1,5
713,743,190,220,1,5
725,755,149,179,1,5
733,763,136,166,1,5
746,776,119,149,1,5
752,782,107,137,1,5
765,795,93,123,1,5
775,805,77,107,1,5
845,875,105,135,1,5
845,875,145,175,1,5
849,879,178,208,1,5
849,879,225,255,1,5
847,877,33,63,1,5
929,959,85,115,1,5
931,961,117,147,1,5
935,965,159,189,1,5
938,968,193,223,1,5
937,967,233,263,1,5
953,983,89,119,1,5
977,1007,135,165,1,5
989,1019,171,201,1,5
1011,1041,231,261,1,5
1017,1047,200,230,1,5
1019,1049,160,190,1,5
1017,1047,113,143,1,5
1019,1049,85,115,1,5
